state,state_fips,fips,county,NAME,disease,season,season_start_year,outcome_per_100k,total_cases,total_cases_per_100k,peak_week_cases,peak_week_cases_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pct_weeks_high_level,mean_admissions_per_100k,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pct_checkup,pct_obesity,pct_diabetes,pct_copd,pct_chd,pct_csmoking,pop_total,land_area_sqmi,outbreak
NY,36,36015,Chemung County,"Chemung County, New York",COVID,2022-2023,2022,4858.8,,4858.83,,189.32,50.0,,,,2.0,10.048,205.2,41.7,19.59,2.29,61358,14.5,6.33,1.25,17.32,14.06,3.49,78.5,34.2,11.9,9.0,8.6,15.9,83584,407.333,0
NY,36,36017,Chenango County,"Chenango County, New York",COVID,2022-2023,2022,4206.9,,4206.929999999999,,235.13,50.0,,,,2.0,6.540000000000001,52.71,44.9,21.32,2.33,61741,12.2,7.1,0.05,13.17,5.66,2.23,78.6,37.5,12.6,9.3,9.0,18.3,47096,893.443,0
NY,36,36019,Clinton County,"Clinton County, New York",COVID,2022-2023,2022,5911.6,,5911.65,,236.07,50.0,,,,10.0,9.154,76.93,40.9,17.84,2.24,67097,12.01,4.66,0.17,18.8,9.7,4.87,80.8,41.1,11.4,8.1,7.3,17.5,79839,1037.751,1
NY,36,36021,Columbia County,"Columbia County, New York",COVID,2022-2023,2022,5104.2,,5104.17,,307.76,50.0,,,,4.0,7.576,96.85,49.3,24.77,2.34,81741,10.02,5.93,2.63,28.01,13.96,6.68,81.6,32.7,10.9,7.3,8.1,13.3,61469,634.663,0
NY,36,36023,Cortland County,"Cortland County, New York",COVID,2022-2023,2022,4615.3,,4615.32,,237.49,50.0,,,,0.0,6.954,93.74,36.3,16.5,2.33,65029,11.92,5.36,0.98,17.43,8.5,2.44,78.3,31.7,9.9,7.5,6.8,14.7,46755,498.774,0
NY,36,36025,Delaware County,"Delaware County, New York",COVID,2022-2023,2022,4166.8,,4166.77,,188.06,50.0,,,,0.0,6.540000000000001,30.94,48.9,25.2,2.26,58338,14.1,6.11,0.99,18.57,7.63,4.14,80.7,35.7,12.7,8.9,9.1,15.1,44637,1442.596,0
NY,36,36027,Dutchess County,"Dutchess County, New York",COVID,2022-2023,2022,5885.5,,5885.46,,197.47,50.0,,,,4.0,10.767999999999995,372.63,42.9,18.4,2.45,94578,8.15,4.97,4.22,27.73,26.72,11.14,80.8,34.1,10.1,6.0,6.6,11.8,296467,795.602,1
NY,36,36029,Erie County,"Erie County, New York",COVID,2022-2023,2022,4437.3,,4437.33,,163.38,50.0,,,,0.0,11.914,912.25,40.1,18.47,2.28,68014,13.42,4.95,3.01,25.68,24.62,7.36,81.0,32.3,10.3,6.6,6.9,14.5,951232,1042.732,0
NY,36,36031,Essex County,"Essex County, New York",COVID,2022-2023,2022,4543.9,,4543.88,,206.05,50.0,,,,6.0,9.154,20.8,49.2,24.83,2.23,68090,9.84,5.07,0.51,24.17,6.86,4.07,80.1,35.9,11.4,8.1,8.6,16.2,37314,1794.122,0
NY,36,36033,Franklin County,"Franklin County, New York",COVID,2022-2023,2022,4370.1,,4370.09,,193.91,50.0,,,,4.0,9.154,29.13,41.9,18.44,2.28,60270,16.26,5.15,1.35,15.79,16.02,3.89,78.6,36.7,12.0,9.5,8.8,18.4,47459,1629.296,0
NY,36,36035,Fulton County,"Fulton County, New York",COVID,2022-2023,2022,5962.6,,5962.609999999999,,288.48,50.0,,,,10.0,7.8279999999999985,107.54,44.2,20.15,2.35,60557,13.66,4.31,0.49,14.03,8.95,2.03,79.6,36.5,12.3,9.7,8.8,19.9,53280,495.46,1
NY,36,36037,Genesee County,"Genesee County, New York",COVID,2022-2023,2022,3837.3,,3837.31,,171.09,50.0,,,,0.0,11.914,118.08,42.7,19.47,2.34,68178,10.26,4.73,0.12,16.64,9.02,2.61,78.5,35.3,11.3,8.8,8.3,16.5,58204,492.939,0
NY,36,36039,Greene County,"Greene County, New York",COVID,2022-2023,2022,4113.4,,4113.36,,207.68,50.0,,,,2.0,7.576,74.27,47.0,23.16,2.52,70294,9.81,2.8,1.38,20.91,13.8,5.58,79.9,32.2,10.9,7.4,7.7,14.1,48067,647.161,0
NY,36,36041,Hamilton County,"Hamilton County, New York",COVID,2022-2023,2022,4234.5,,4234.5,,317.03,47.0,,,,2.0,8.016,2.96,56.4,32.0,2.83,66891,10.63,4.91,0.49,18.84,7.54,1.71,82.3,37.6,14.6,11.7,11.1,17.8,5090,1717.378,0
NY,36,36043,Herkimer County,"Herkimer County, New York",COVID,2022-2023,2022,4406.4,,4406.4400000000005,,169.6,50.0,,,,0.0,7.024,42.74,44.3,21.32,2.39,68104,11.84,4.16,0.21,15.95,6.61,2.54,79.8,37.8,11.4,8.6,8.2,16.5,60293,1410.586,0
